,url,searched_hashtag,location_name,location_id,user_name,user_id,taken_at,comment_count,like_count,text,hashtags,commenters,number_of_posts
20,https://www.instagram.com/p/Cgt3aAZKjA9,camaro1969,Saturday Night Cruise,1013006441,dutch.autofocuz,50242392230,1659356403,4,54,"1969 Chevrolet USA Camaro 🔥🔥🔥

_________________________________________
@thecruisebrothers
_________________________________________
#chevrolet#chevroletcamaro#camaro1969#1969#1969camaro#saturdaynightcruise#thecruisebrothers#musclecars#denhaag#classicusacars#carevent#carshowlife#autofotografie#autofotgraaf#carlovers#carspottingnederland#photooftheday#dutchautomotive#carporn#carswithnolimits#carsofinstagram#nikon#tamron#dutchautofocuz",['#chevrolet#chevroletcamaro#camaro1969#1969#1969camaro#saturdaynightcruise#thecruisebrothers#musclecars#denhaag#classicusacars#carevent#carshowlife#autofotografie#autofotgraaf#carlovers#carspottingnederland#photooftheday#dutchautomotive#carporn#carswithnolimits#carsofinstagram#nikon#tamron#dutchautofocuz'],"[{'username': 'angelina._.04_', 'text': 'Send pic👉@_cars_empire'}, {'username': 'tvjf.h', 'text': 'Promote it on @motorized__nation 💥💥'}]",2606
21,https://www.instagram.com/p/CgsQmyJJF5p,camaro1969,,,mcarthurmotor,22223173773,1659302506,0,29,62k for the 1969 #camaro1969 #camaro #murray #pedalcar #huggerorange,"['#camaro1969', '#camaro', '#murray', '#pedalcar', '#huggerorange']",[],2606
22,https://www.instagram.com/p/CgnZsPao61L,camaro1969,,,abu_adeeb_diecast,4268201493,1659139497,1,71,"Model: Chevrolet COPO Camaro Dick Harrell 1969 
Brand: Acme 
Scale: 1/18
Color: Blue 
SKU: A1805723
Limited Edition : 1 of 1620 Units 
Price: 549sr ريال

#diecast 
#diecastcars 
#diecastcollector 
#diecastcar
#diecastcollectors 
#acmediecast 
#chevroletcamaro
#camarodiecast
#camaro1969
#camaroz28
#camaro
#camaroclassic
#classiccamaro
#musclecar
#musclecars
#camarocopo
#classiccar 
#شفر
#شفرات
#شفراويه
 #كامارو
#كومارو
#كامارو_كلاسيك
#مجسمات
 #شفراوي
#اكمي 
 #مجسمات_للبيع
 #مجسمات_سيارات
 #مجسمات_سيارات_للبيع 
#تراث","['#diecast', '#diecastcars', '#diecastcollector', '#diecastcar', '#diecastcollectors', '#acmediecast', '#chevroletcamaro', '#camarodiecast', '#camaro1969', '#camaroz28', '#camaro', '#camaroclassic', '#classiccamaro', '#musclecar', '#musclecars', '#camarocopo', '#classiccar', '#شفر', '#شفرات', '#شفراويه', '#كامارو', '#كومارو', '#كامارو_كلاسيك', '#مجسمات', '#شفراوي', '#اكمي', '#مجسمات_للبيع', '#مجسمات_سيارات', '#مجسمات_سيارات_للبيع', '#تراث']","[{'username': 'shark.best.forever', 'text': 'بخاخ التأخير للرجال راسلني 💪💪'}]",2606
23,https://www.instagram.com/p/CgmWcpVuHkX,camaro1969,,,coole_stcars,54509338388,1659104242,2,11,"Toyota A35🧡 
.
.
.
.
.
.
.
.
.
.
.#makeup @carspotting_supercars01 #fords550mustang #fyp #fitness #dogsofinstagram #digitalart #design #dance #camaro1969 #xfactor #xbox 
#zodiac #outfitoftheday #supercar #design #car #fords550 #friends #followforfollowback #dogsofinstagram #dankmemes","['#makeup', '#fords550mustang', '#fyp', '#fitness', '#dogsofinstagram', '#digitalart', '#design', '#dance', '#camaro1969', '#xfactor', '#xbox', '#zodiac', '#outfitoftheday', '#supercar', '#design', '#car', '#fords550', '#friends', '#followforfollowback', '#dogsofinstagram', '#dankmemes']","[{'username': 'renny.adi', 'text': 'WoW❤️dm @thegymvogue 5️⃣♏'}, {'username': '_teri_meri_kahani____', 'text': 'Promote it  @the_vehicle.world'}]",2606
24,https://www.instagram.com/p/CghdJu6j3ut,camaro1969,,,the_69_hugger,24105769749,1658940189,31,385,"Camaro 1969 🇺🇲💎
🎥:@almuqahwi_shot
Owner :
@the_69_hugger
.
.
.
.
#bahrain #usa #ksa #kuwait #americanmuscle #classiccar #musclecar #cars #muscle #musclecars #classiccars #classic #carsofinstagram #explore #amazing #nice #cool #monster #beauty #beautiful #dope #beast #gourgeous #camaro #camaro1969 #camaro69","['#bahrain', '#usa', '#ksa', '#kuwait', '#americanmuscle', '#classiccar', '#musclecar', '#cars', '#muscle', '#musclecars', '#classiccars', '#classic', '#carsofinstagram', '#explore', '#amazing', '#nice', '#cool', '#monster', '#beauty', '#beautiful', '#dope', '#beast', '#gourgeous', '#camaro', '#camaro1969', '#camaro69']","[{'username': 'classicusacars', 'text': '🔥'}, {'username': 'canon_photography_360', 'text': '🔥🔥🔥🔥'}]",2606
25,https://www.instagram.com/p/Cghcx2Ir1ZG,camaro1969,,,forzadocs,34966070686,1658939790,5,61,"Chevrolet Camaro Super Sport Coupe 1969
.
.
.
.
.
#forza4photography #fh5photomode 
#fh5photography #forzamixtape #fh5
#forzahorizon5 #forzasupercars #fh4
#forzalegend #forzazenvo #fh5pics 
#forzamotorsport #forzashots #fh4
#carrosclassicos #carrosantigos 
#classiccars #musclecarsdaily 
#americanmuscle #classicmuscle 
#kirizuna_ #ramonphotography 
#zyhoot #artxzm #musclecars
#musclecarculture #camaross 
#camaro1969 #chevycamaro 
#thelightclubofficial #camaross","['#forza4photography', '#fh5photomode', '#fh5photography', '#forzamixtape', '#fh5', '#forzahorizon5', '#forzasupercars', '#fh4', '#forzalegend', '#forzazenvo', '#fh5pics', '#forzamotorsport', '#forzashots', '#fh4', '#carrosclassicos', '#carrosantigos', '#classiccars', '#musclecarsdaily', '#americanmuscle', '#classicmuscle', '#kirizuna_', '#ramonphotography', '#zyhoot', '#artxzm', '#musclecars', '#musclecarculture', '#camaross', '#camaro1969', '#chevycamaro', '#thelightclubofficial', '#camaross']","[{'username': 'forzadocs', 'text': '@pnj.o0 🔥🔥'}, {'username': 'niturbo_brazil', 'text': 'Classic 🔥'}]",2606
26,https://www.instagram.com/p/CgfIA9-oDK6,camaro1969,,,_bata_shonko_,541132102,1658861795,3,21,#camaro #camaro1969 #chevrolet #impala #impala61 #mustangmach1 #mustang71 #hotwheelspremium #hotwheelscollector #hotwheelscustom #hotwheelslegends #hotwheelscollection #hotwheelsofficial #hotwheelssrbija #hotwheelsmalasya #hotwheelspics #mattel #mattelipstick #diecast #diecastphotography #diecastphotography #diecastcollector #164scale #164diecast #miniaturas #oldschool #oldcar #vintagecar #americanmuscle #americancars,"['#camaro', '#camaro1969', '#chevrolet', '#impala', '#impala61', '#mustangmach1', '#mustang71', '#hotwheelspremium', '#hotwheelscollector', '#hotwheelscustom', '#hotwheelslegends', '#hotwheelscollection', '#hotwheelsofficial', '#hotwheelssrbija', '#hotwheelsmalasya', '#hotwheelspics', '#mattel', '#mattelipstick', '#diecast', '#diecastphotography', '#diecastphotography', '#diecastcollector', '#164scale', '#164diecast', '#miniaturas', '#oldschool', '#oldcar', '#vintagecar', '#americanmuscle', '#americancars']","[{'username': 'match.wheels', 'text': '😍😍😮nice profile 👌great photos 👍'}, {'username': '_bata_shonko_', 'text': '@match.wheels Thanks. 🤘💪🤘'}]",2606
27,https://www.instagram.com/p/ChxXdJUsEMF,camaro1969,São Paulo,1017781524,thegarage_br,2322376329,1661621353,6,313,"1969 Chevrolet Camaro SS 

• Motor V8 383
• Câmbio automático
• Tampa de válvula Edelbrock
• Rádio original 
• Interior em couro 

• Faça a estrada valer a pena • 

Para mais inormações e valores acesse nosso site:
www.thegarage.com.br
Contato: 11 96591-5589

#chevrolet #chevroletcamaro #camaro1969 #classiccar #carrosclassicos #chevy #thegarage #clubchevrolet #clubcamaro","['#chevrolet', '#chevroletcamaro', '#camaro1969', '#classiccar', '#carrosclassicos', '#chevy', '#thegarage', '#clubchevrolet', '#clubcamaro']","[{'username': 'elviszubrowka', 'text': 'Lindo.  Só não achei o carro no site para saber o preço'}, {'username': 'fer.ribas', 'text': 'Preço???'}]",2606
28,https://www.instagram.com/p/ChxXnNNogOM,camaro1969,São Paulo,1017781524,thegarage_br,2322376329,1661621436,11,1186,"1969 Chevrolet Camaro SS 

• Motor V8 383
• Câmbio automático
• Tampa de válvula Edelbrock
• Rádio original 
• Interior em couro 

• Faça a estrada valer a pena • 

Para mais inormações e valores acesse nosso site:
www.thegarage.com.br
Contato: 11 96591-5589

#chevrolet #chevroletcamaro #camaro1969 #classiccar #carrosclassicos #chevy #thegarage #clubchevrolet #clubcamaro","['#chevrolet', '#chevroletcamaro', '#camaro1969', '#classiccar', '#carrosclassicos', '#chevy', '#thegarage', '#clubchevrolet', '#clubcamaro']","[{'username': 'lu_braga16', 'text': '@feh_camilo16  que maravilhoso 😍😍😍😍😍😍 amei moh'}, {'username': 'v8.camaro', 'text': '@alan_corretor no Ebaa o cara pedia 270 eu acho'}]",2606
29,https://www.instagram.com/p/ChxXVVSvCXN,camaro1969,"São Paulo, Brazil",112047398814697,thegarage_br,2322376329,1661621289,1,98,"1969 Chevrolet Camaro SS 

• Motor V8 383
• Câmbio automático
• Tampa de válvula Edelbrock
• Rádio original 
• Interior em couro 

• Faça a estrada valer a pena • 

Para mais inormações e valores acesse nosso site:
www.thegarage.com.br
Contato: 11 96591-5589

#chevrolet #chevroletcamaro #camaro1969 #classiccar #carrosclassicos #chevy #thegarage #clubchevrolet #clubcamaro","['#chevrolet', '#chevroletcamaro', '#camaro1969', '#classiccar', '#carrosclassicos', '#chevy', '#thegarage', '#clubchevrolet', '#clubcamaro']","[{'username': 'nsjskwoowoe', 'text': 'DM it on @alphavehicle'}]",2606
